condition,N,treatment,placement,repeat,iters,n_access,base_cyc,base_ns,base_cyc_iter,base_ns_iter,base_cyc_op,base_gate
hit,2,dmb_st,after_every,1,1000000,2000000,6905733,2167328,6.906,2.167,3.4529,PASS
hit,2,dmb_st,after_every,2,1000000,2000000,6829313,2132704,6.829,2.133,3.4147,PASS
hit,2,dmb_st,after_every,3,1000000,2000000,6832121,2132512,6.832,2.133,3.4161,PASS
hit,2,dmb_st,after_every,4,1000000,2000000,6861590,2140576,6.862,2.141,3.4308,PASS
hit,2,dmb_st,after_every,5,1000000,2000000,6844492,2135776,6.844,2.136,3.4222,PASS
hit,2,dmb_st,after_every,6,1000000,2000000,6812382,2126144,6.812,2.126,3.4062,PASS
hit,2,dmb_st,after_every,7,1000000,2000000,6804470,2124192,6.804,2.124,3.4022,PASS
hit,2,dmb_st,after_every,8,1000000,2000000,6795250,2120096,6.795,2.120,3.3976,PASS
hit,2,dmb_st,after_every,9,1000000,2000000,6874230,2146240,6.874,2.146,3.4371,PASS
hit,2,dmb_st,after_group,0,1000000,2000000,6862257,2145408,6.862,2.145,3.4311,PASS
hit,2,dmb_st,after_group,1,1000000,2000000,6774805,2116192,6.775,2.116,3.3874,PASS
hit,2,dmb_st,after_group,2,1000000,2000000,6787022,2126336,6.787,2.126,3.3935,PASS
hit,2,dmb_st,after_group,3,1000000,2000000,6820242,2128032,6.820,2.128,3.4101,PASS
hit,2,dmb_st,after_group,4,1000000,2000000,6831736,2132896,6.832,2.133,3.4159,PASS
hit,2,dmb_st,after_group,5,1000000,2000000,6792512,2119328,6.793,2.119,3.3963,PASS
hit,2,dmb_st,after_group,6,1000000,2000000,6791226,2119584,6.791,2.120,3.3956,PASS
hit,2,dmb_st,after_group,7,1000000,2000000,6806501,2125408,6.807,2.125,3.4033,PASS
hit,2,dmb_st,after_group,8,1000000,2000000,6786453,2117312,6.786,2.117,3.3932,PASS
hit,2,dmb_st,after_group,9,1000000,2000000,6803740,2124096,6.804,2.124,3.4019,PASS
hit,2,dmb_sy,after_every,0,1000000,2000000,6846943,2144416,6.847,2.144,3.4235,PASS
hit,2,dmb_sy,after_every,1,1000000,2000000,6754193,2109440,6.754,2.109,3.3771,PASS
hit,2,dmb_sy,after_every,2,1000000,2000000,6773599,2114304,6.774,2.114,3.3868,PASS
hit,2,dmb_sy,after_every,3,1000000,2000000,6777302,2115168,6.777,2.115,3.3887,PASS
hit,2,dmb_sy,after_every,4,1000000,2000000,6821005,2128512,6.821,2.129,3.4105,PASS
hit,2,dmb_sy,after_every,5,1000000,2000000,6798404,2120960,6.798,2.121,3.3992,PASS
hit,2,dmb_sy,after_every,6,1000000,2000000,6851681,2139424,6.852,2.139,3.4258,PASS
hit,2,dmb_sy,after_every,7,1000000,2000000,6802379,2122816,6.802,2.123,3.4012,PASS
hit,2,dmb_sy,after_every,8,1000000,2000000,6767972,2111200,6.768,2.111,3.3840,PASS
hit,2,dmb_sy,after_every,9,1000000,2000000,6808263,2124672,6.808,2.125,3.4041,PASS
hit,2,dmb_sy,after_group,0,1000000,2000000,6816392,2136576,6.816,2.137,3.4082,PASS
hit,2,dmb_sy,after_group,1,1000000,2000000,6825904,2134720,6.826,2.135,3.4130,PASS
hit,2,dmb_sy,after_group,2,1000000,2000000,6770886,2126816,6.771,2.127,3.3854,PASS
hit,2,dmb_sy,after_group,3,1000000,2000000,6791295,2119840,6.791,2.120,3.3956,PASS
hit,2,dmb_sy,after_group,4,1000000,2000000,6814918,2128384,6.815,2.128,3.4075,PASS
hit,2,dmb_sy,after_group,5,1000000,2000000,6761816,2111616,6.762,2.112,3.3809,PASS
hit,2,dmb_sy,after_group,6,1000000,2000000,6771897,2113568,6.772,2.114,3.3859,PASS
hit,2,dmb_sy,after_group,7,1000000,2000000,6745170,2115104,6.745,2.115,3.3726,PASS
hit,2,dmb_sy,after_group,8,1000000,2000000,6739251,2102816,6.739,2.103,3.3696,PASS
hit,2,dmb_sy,after_group,9,1000000,2000000,6798552,2120960,6.799,2.121,3.3993,PASS
