condition,N,treatment,placement,repeat,iters,n_access,base_cyc,base_ns,base_cyc_iter,base_ns_iter,base_cyc_op,base_gate
hit,4,dmb_ish,after_every,3,1000000,4000000,9759107,3040256,9.759,3.040,2.4398,PASS
hit,4,dmb_ish,after_every,4,1000000,4000000,9903635,3083712,9.904,3.084,2.4759,PASS
hit,4,dmb_ish,after_every,5,1000000,4000000,9778912,3049504,9.779,3.050,2.4447,PASS
hit,4,dmb_ish,after_every,6,1000000,4000000,9747141,3035488,9.747,3.035,2.4368,PASS
hit,4,dmb_ish,after_every,7,1000000,4000000,9813094,3073600,9.813,3.074,2.4533,PASS
hit,4,dmb_ish,after_every,8,1000000,4000000,9771474,3043584,9.771,3.044,2.4429,PASS
hit,4,dmb_ish,after_every,9,1000000,4000000,9685702,3017152,9.686,3.017,2.4214,PASS
hit,4,dmb_ish,after_group,0,1000000,4000000,9928251,3104960,9.928,3.105,2.4821,PASS
hit,4,dmb_ish,after_group,1,1000000,4000000,10015217,3121792,10.015,3.122,2.5038,PASS
hit,4,dmb_ish,after_group,2,1000000,4000000,9747012,3039168,9.747,3.039,2.4368,PASS
hit,4,dmb_ish,after_group,3,1000000,4000000,9783222,3048000,9.783,3.048,2.4458,PASS
hit,4,dmb_ish,after_group,4,1000000,4000000,9884583,3080224,9.885,3.080,2.4711,PASS
hit,4,dmb_ish,after_group,5,1000000,4000000,9865072,3073376,9.865,3.073,2.4663,PASS
hit,4,dmb_ish,after_group,6,1000000,4000000,9748924,3037120,9.749,3.037,2.4372,PASS
hit,4,dmb_ish,after_group,7,1000000,4000000,9779625,3045376,9.780,3.045,2.4449,PASS
hit,4,dmb_ish,after_group,8,1000000,4000000,9776040,3044864,9.776,3.045,2.4440,PASS
hit,4,dmb_ish,after_group,9,1000000,4000000,9836893,3064032,9.837,3.064,2.4592,PASS
hit,4,dmb_ishld,after_every,0,1000000,4000000,9933650,3104096,9.934,3.104,2.4834,PASS
hit,4,dmb_ishld,after_every,1,1000000,4000000,9747815,3041920,9.748,3.042,2.4370,PASS
hit,4,dmb_ishld,after_every,2,1000000,4000000,9820663,3058944,9.821,3.059,2.4552,PASS
hit,4,dmb_ishld,after_every,3,1000000,4000000,9918284,3090016,9.918,3.090,2.4796,PASS
hit,4,dmb_ishld,after_every,4,1000000,4000000,9762797,3041824,9.763,3.042,2.4407,PASS
hit,4,dmb_ishld,after_every,5,1000000,4000000,9708712,3023744,9.709,3.024,2.4272,PASS
hit,4,dmb_ishld,after_every,6,1000000,4000000,9871815,3076384,9.872,3.076,2.4680,PASS
hit,4,dmb_ishld,after_every,7,1000000,4000000,9739276,3035936,9.739,3.036,2.4348,PASS
hit,4,dmb_ishld,after_every,8,1000000,4000000,9901464,3083808,9.901,3.084,2.4754,PASS
hit,4,dmb_ishld,after_every,9,1000000,4000000,9800391,3053600,9.800,3.054,2.4501,PASS
hit,4,dmb_ishld,after_group,0,1000000,4000000,9832256,3073088,9.832,3.073,2.4581,PASS
